"user_id","total_sessions","total_clicks","avg_clicks","avg_session_minutes","flights_booked","hotels_booked","total_bookings","avg_flight_price","avg_hotel_price","cancellations","flight_discounts_seen","hotel_discounts_seen","total_trips","unique_flight_destination","seats_avg","checked_bags_avg","bags_per_seat_avg","booking_rate","cancellation_rate","sessions_booking_rate","discount_booking_rate","discount_attention_index","travel_intensity_index","gender","married","has_children","home_country","home_city","sign_up_date"
"23557","8","82","10.2500000000000000","1.27708333333333332917","0","2","2","","177.0000000000000000","0","0","2","0","0","","","","0.25","0","0.25","0.5","0.25","0.25","F","true","false","usa","new york","2021-07-22"
"94883","8","73","9.1250000000000000","1.12916666666666667500","2","2","2","432.0450000000000000","90.0000000000000000","0","0","1","2","2","1.5000000000000000","0.50000000000000000000","0.5","0.25","0","0.25","0","0.125","0.5","F","true","false","usa","kansas city","2022-02-07"
"101486","8","131","16.3750000000000000","2.03750000000000000000","1","2","2","189.9100000000000000","198.5000000000000000","0","2","0","1","1","1.00000000000000000000","0.00000000000000000000","0","0.25","0","0.25","0","0.25","0.375","F","true","true","usa","tacoma","2022-02-17"
"101961","8","126","15.7500000000000000","1.96250000000000000833","5","5","5","248.5320000000000000","136.0000000000000000","0","2","1","5","5","1.00000000000000000000","0.40000000000000000000","0.4","0.625","0","0.625","0.2","0.375","1.25","F","true","false","usa","boston","2022-02-17"
"106907","8","240","30.0000000000000000","12.64858443541666667500","2","2","2","13902.0600000000000000","129.0000000000000000","1","1","1","2","1","6.0000000000000000","5.0000000000000000","0.8333333333333334","0.25","0.125","0.25","0.5","0.125","0.5","F","true","true","usa","miami","2022-02-24"
"118043","8","164","20.5000000000000000","2.55208333333333333750","3","4","5","779.7633333333333333","227.2500000000000000","0","2","3","3","3","2.0000000000000000","1.00000000000000000000","0.611111111111111","0.625","0","0.625","0.4","0.5","0.875","F","false","true","usa","los angeles","2022-03-10"
"120851","8","55","6.8750000000000000","0.86249999999999999584","1","1","1","384.6800000000000000","182.0000000000000000","0","2","0","1","1","1.00000000000000000000","0.00000000000000000000","0","0.125","0","0.125","0","0.25","0.25","F","true","true","usa","santa ana","2022-03-13"
"125845","9","159","17.6666666666666667","2.19629629629629630000","3","3","3","584.4400000000000000","123.6666666666666667","0","1","1","3","3","1.3333333333333333","0.66666666666666666667","0.5","0.3333333333333333","0","0.3333333333333333","0.3333333333333333","0.2222222222222222","0.6666666666666666","F","true","false","usa","el paso","2022-03-19"
"133058","8","73","9.1250000000000000","1.13541666666666667083","1","0","1","423.5100000000000000","","0","0","1","1","1","1.00000000000000000000","0.00000000000000000000","0","0.125","0","0.125","0","0.125","0.125","F","false","false","usa","austin","2022-03-27"
"149058","8","142","17.7500000000000000","2.19583333333333333750","5","5","5","385.7320000000000000","168.6000000000000000","0","1","0","5","5","1.2000000000000000","0.40000000000000000000","0.3","0.625","0","0.625","0.2","0.125","1.25","F","false","true","usa","birmingham","2022-04-14"
"152583","8","149","18.6250000000000000","2.31666666666666665833","1","1","1","367.8300000000000000","213.0000000000000000","0","1","1","1","1","1.00000000000000000000","2.0000000000000000","2","0.125","0","0.125","0","0.25","0.25","F","false","false","usa","colorado springs","2022-04-17"
"153982","8","150","18.7500000000000000","2.30833333333333332500","3","3","3","218.9566666666666667","207.0000000000000000","0","0","1","3","3","1.00000000000000000000","0.33333333333333333333","0.3333333333333333","0.375","0","0.375","0","0.125","0.75","F","false","true","canada","toronto","2022-04-19"
"160754","8","86","10.7500000000000000","1.34791666666666665417","1","1","1","93.6200000000000000","214.0000000000000000","0","0","0","1","1","1.00000000000000000000","1.00000000000000000000","1","0.125","0","0.125","0","0","0.25","F","true","true","usa","new york","2022-04-26"
"164522","8","89","11.1250000000000000","1.38958333333333334167","1","1","1","328.3200000000000000","233.0000000000000000","0","2","1","1","1","1.00000000000000000000","1.00000000000000000000","1","0.125","0","0.125","1","0.375","0.25","F","true","false","usa","kansas city","2022-04-30"
